place,address,address2,_GC_TYPE,_X,_Y
미주홀공원,인천시 연수구 해송로 59 갯벌문화관,인천광역시 연수구 해송로 59 갯벌문화관,정,126.6494982172881,37.38238828907887
송도웰카운티2단지,인천 연수구 해송로 70,인천광역시 연수구 해송로 70,정,126.64943686386333,37.378659828753364
송도국제도시베르디움,인천 연수구 송도문화로84번길 84,인천광역시 연수구 송도문화로84번길 84,정,126.65776441596502,37.371363432887264
해돋이공원,인천광역시 연수구 해돋이로 51 해돋이공원,인천광역시 연수구 해돋이로 51 해돋이공원,정,126.65483615323085,37.38845304074064
송도더샵센트럴시티,인천광역시 연수구 송도국제대로 261,인천광역시 연수구 송도국제대로 261,정,126.65316529465491,37.37435194919133
인천재능대학교,인천시 연수구 송도교육로111번길 15,인천광역시 연수구 송도교육로111번길 15,정,126.66455460859807,37.369804467916886
송도성지리벨루스,인천광역시 연수구 신송로6번길 7,인천광역시 연수구 신송로6번길 7,정,126.66097787976884,37.390531143757926
인천글로벌캠퍼스,인천 연수구 송도문화로 119,인천광역시 연수구 송도문화로 119,정,126.66827528893462,37.375173959869265
해찬솔공원,인천시 연수구 송도과학로27번길 76,인천광역시 연수구 송도과학로27번길 76,정,126.66807713869748,37.38816295984406
인천송도국제캠핑장,인천 연수구 지식기반로 60,인천광역시 연수구 지식기반로 60,정,126.64587565013296,37.36158043186471
솔찬공원,인천시 연수구 컨벤시아대로391번길 20,인천광역시 연수구 컨벤시아대로391번길 20,정,126.62790016356476,37.37253777873744
랜드마크씨티3,인천시 연수구 송도동 400,인천광역시 연수구 송도동 400,정,126.62381465343672,37.39460364380136
잭니클라우스,인천 연수구 아카데미로 209,인천광역시 연수구 아카데미로 209,정,126.61759252847985,37.38079707002865
